,index,Ticker,Price,Volume
0,1,AAPL,167.43,18189852.0
1,2,BAC,32.0,23847649.0
2,3,AMZN,1450.89,3338672.0
3,4,T,37.45,23827088.0
4,5,GOOG,1169.9399,707039.0
5,6,MO,70.34,7007523.0
6,7,DAL,56.77,1835332.0
7,8,AA,52.02,1013597.0
8,9,AXP,99.4,986477.0
9,11,BABA,204.29,20900780.0
10,12,ABT,62.16,2858426.0
11,13,UA,12.85,1005011.0
12,14,AMAT,53.63,4580177.0
13,15,AMGN,186.05,1660739.0
14,16,AAL,54.32,1278637.0
15,17,AIG,63.92,1381023.0
16,18,ALL,98.77,714322.0
17,19,ADBE,199.76,933956.0
18,20,GOOGL,1182.22,834839.0
19,21,ACN,160.7,306010.0
20,22,ABBV,112.22,2808438.0
21,23,MT,36.39,1392307.0
22,24,LLY,81.45,2563829.0
23,25,AGN,180.26,577768.0
24,26,APA,44.87,1191779.0
25,27,ADP,123.63,1082810.0
26,28,APC,60.05,1540599.0
27,29,AKAM,66.99,608778.0
28,30,NLY,10.54,4862374.0
29,31,ABX,14.38,2386880.0
30,32,ATVI,74.13,2316053.0
31,33,ADSK,115.62,641799.0
32,34,ADM,42.95,1070554.0
33,35,WBA,75.26,2490260.0
34,36,ARNA,37.42,224879.0
35,37,LUV,60.8,1522477.0
36,38,ACAD,29.91,448280.0
37,39,PANW,157.87,260767.0
38,40,AMD,13.74,36091676.0
39,41,AET,186.82,773212.0
40,42,AEP,68.78,752169.0
41,43,ALXN,119.32,1203322.0
42,45,AVGO,248.03,3145843.0
43,46,EA,126.96,2366421.0
44,47,DB,18.34,1077792.0
45,49,AEM,47.28,157919.0
46,50,APD,168.37,460178.0
47,51,AMBA,50.4,327351.0
48,52,NVS,90.06,520374.0
49,54,ANF,20.71,597370.0
50,55,LULU,78.21,760578.0
51,57,ARRY,14.82,1611897.0
52,58,AGNC,18.79,2784428.0
53,59,JBLU,20.86,2449002.0
54,60,A,73.43,709044.0
55,61,ORLY,264.69,433763.0
