,index,Ticker,Price,Volume,Rank
0,1,AAPL,167.43,18189852.0,12.0
1,2,BAC,32.0,23847649.0,3.0
2,3,AMZN,1450.89,3338672.0,80.0
3,4,T,37.45,23827088.0,4.0
4,5,GOOG,1169.9399,707039.0,584.0
5,6,MO,70.34,7007523.0,29.0
6,7,DAL,56.77,1835332.0,195.0
7,8,AA,52.02,1013597.0,395.0
8,9,AXP,99.4,986477.0,411.0
9,11,BABA,204.29,20900780.0,9.0
10,12,ABT,62.16,2858426.0,101.0
11,13,UA,12.85,1005011.0,403.0
12,14,AMAT,53.63,4580177.0,47.0
13,15,AMGN,186.05,1660739.0,212.0
14,16,AAL,54.32,1278637.0,296.0
15,17,AIG,63.92,1381023.0,268.0
16,18,ALL,98.77,714322.0,576.0
17,19,ADBE,199.76,933956.0,443.0
18,20,GOOGL,1182.22,834839.0,491.0
20,22,ABBV,112.22,2808438.0,103.0
21,23,MT,36.39,1392307.0,266.0
22,24,LLY,81.45,2563829.0,120.0
23,25,AGN,180.26,577768.0,676.0
24,26,APA,44.87,1191779.0,328.0
25,27,ADP,123.63,1082810.0,367.0
26,28,APC,60.05,1540599.0,239.0
27,29,AKAM,66.99,608778.0,649.0
28,30,NLY,10.54,4862374.0,45.0
29,31,ABX,14.38,2386880.0,137.0
30,32,ATVI,74.13,2316053.0,147.0
31,33,ADSK,115.62,641799.0,626.0
32,34,ADM,42.95,1070554.0,373.0
33,35,WBA,75.26,2490260.0,129.0
35,37,LUV,60.8,1522477.0,242.0
36,38,ACAD,29.91,448280.0,830.0
38,40,AMD,13.74,36091676.0,1.0
39,41,AET,186.82,773212.0,533.0
40,42,AEP,68.78,752169.0,549.0
41,43,ALXN,119.32,1203322.0,323.0
42,45,AVGO,248.03,3145843.0,87.0
43,46,EA,126.96,2366421.0,142.0
44,47,DB,18.34,1077792.0,368.0
46,50,APD,168.37,460178.0,824.0
48,52,NVS,90.06,520374.0,743.0
49,54,ANF,20.71,597370.0,659.0
50,55,LULU,78.21,760578.0,543.0
51,57,ARRY,14.82,1611897.0,223.0
52,58,AGNC,18.79,2784428.0,107.0
53,59,JBLU,20.86,2449002.0,132.0
54,60,A,73.43,709044.0,582.0
55,61,ORLY,264.69,433763.0,854.0
56,62,FOLD,16.22,1578527.0,230.0
58,65,AN,60.22,788695.0,519.0
59,66,AZN,35.06,1487304.0,249.0
60,67,AES,11.56,1572986.0,232.0
61,69,BUD,113.48,479737.0,802.0
66,75,CS,19.34,773285.0,532.0
67,76,AFL,88.2,1266449.0,302.0
68,77,ADI,91.88,1023847.0,393.0
70,80,AMP,168.7,383029.0,932.0
71,82,AMTD,55.79,2116379.0,167.0
72,83,AEO,18.0,719379.0,572.0
73,84,AWK,83.17,370915.0,953.0
74,85,NVO,55.5,1546601.0,238.0
76,87,ALK,65.73,771386.0,534.0
77,88,PAA,20.97,1499604.0,245.0
78,89,ARCC,15.95,929500.0,444.0
80,94,AIV,41.84,405275.0,899.0
82,96,AEE,56.63,1405492.0,263.0
83,97,UBS,20.32,760908.0,542.0
85,100,ANTM,247.85,709601.0,581.0
87,104,ABC,99.67,981887.0,414.0
88,105,STO,23.44,621862.0,640.0
89,106,ATI,26.96,528249.0,731.0
90,107,ADT,12.48,2681693.0,112.0
91,108,AVB,170.4,438447.0,848.0
94,112,AVY,122.68,463688.0,817.0
95,114,ASH,72.59,496304.0,776.0
98,122,ABMD,235.0,576519.0,679.0
101,128,AON,142.17,415356.0,881.0
105,134,AKRX,32.22,463756.0,816.0
109,140,AMT,147.7,769713.0,535.0
110,141,ALDR,14.15,2027091.0,173.0
113,146,ARI,18.17,538576.0,715.0
114,148,AR,19.43,923814.0,449.0
115,150,AMC,12.8,962827.0,425.0
119,155,FCAU,24.17,1240676.0,310.0
120,156,BAH,39.18,532655.0,724.0
121,158,AVT,42.5,370548.0,955.0
122,159,ALB,111.59,619608.0,642.0
126,164,AU,11.28,936841.0,439.0
132,175,AMKR,10.06,424832.0,867.0
138,184,CENX,22.25,625828.0,634.0
144,195,VRSK,100.05,748074.0,552.0
147,200,APO,35.75,916881.0,451.0
149,206,RBA,32.52,397414.0,910.0
150,207,MAA,95.37,525275.0,739.0
151,208,BAM,41.87,669990.0,604.0
160,219,PKG,125.63,363078.0,974.0
166,228,ALSN,44.24,478975.0,803.0
167,229,ALGN,262.0,887185.0,465.0
171,235,GLPI,36.44,939919.0,437.0
175,239,ARRS,25.3,852827.0,480.0
176,240,ARMK,45.81,395213.0,914.0
177,241,AOS,66.78,434537.0,852.0
181,249,ABB,27.87,561143.0,690.0
182,250,SPR,102.36,624183.0,639.0
183,251,SEE,47.35,707412.0,583.0
184,253,PAAS,16.42,525374.0,738.0
185,254,DLPH,55.23,537878.0,716.0
186,257,BBVA,9.39,943020.0,435.0
197,272,MDRX,14.91,554453.0,700.0
201,279,AMH,20.79,1223112.0,314.0
202,280,AME,76.3,586333.0,669.0
211,292,HTA,27.61,363387.0,972.0
226,317,KS,34.64,1272597.0,299.0
229,322,AXTA,31.5,512324.0,752.0
235,335,AER,54.1,557940.0,696.0
243,349,AXL,17.65,761604.0,541.0
253,369,ACHC,34.08,537559.0,717.0
256,374,RPAI,12.05,1091570.0,364.0
278,406,ASB,24.75,910779.0,456.0
287,421,AAOI,32.39,358426.0,982.0
290,424,STAY,20.23,738848.0,559.0
301,444,ALLY,29.77,1616199.0,221.0
322,479,LNT,39.75,443718.0,838.0
328,495,APLE,19.39,829782.0,494.0
354,560,ATRA,37.8,461515.0,820.0
357,573,AKAO,10.97,576540.0,678.0
365,588,HMNY,9.34,2317467.0,146.0
368,593,BTI,68.1,460874.0,823.0
409,678,BRKS,27.9,810489.0,502.0
416,689,AGR,48.72,472963.0,807.0
435,744,OMAM,17.89,648091.0,621.0
464,793,GCP,33.4,586837.0,668.0
538,1434,BA,354.37,2209983.0,156.0
539,1435,IBM,163.7,1178988.0,332.0
540,1436,BP,42.79,2804147.0,104.0
541,1437,BAX,72.03,2205604.0,158.0
542,1439,BIDU,246.92,1248755.0,307.0
543,1441,BBY,73.06,892968.0,460.0
544,1442,BX,36.55,3924163.0,63.0
545,1443,BSX,27.96,7427077.0,24.0
546,1444,BIIB,347.81,517694.0,745.0
547,1445,BMY,62.6,2204607.0,159.0
548,1446,BBBY,23.08,2209784.0,157.0
549,1447,USB,57.14,1620171.0,220.0
551,1450,YUM,84.59,528168.0,732.0
553,1452,MNST,68.23,806889.0,503.0
554,1453,BK,56.7,768191.0,536.0
555,1454,FITB,33.1,1347940.0,281.0
556,1455,ZBH,127.12,601479.0,654.0
557,1456,PBR,13.36,6236090.0,33.0
558,1457,BHP,49.02,508684.0,759.0
559,1460,BEN,42.41,1486804.0,250.0
560,1462,LB,50.09,831582.0,492.0
562,1465,BBT,55.19,1008813.0,401.0
564,1469,HRB,26.54,850935.0,483.0
566,1472,STI,70.7,1219409.0,318.0
570,1477,BITA,34.79,368004.0,966.0
571,1478,BCS,11.37,720243.0,570.0
575,1483,BMRN,90.23,851454.0,481.0
577,1486,HBAN,16.18,5596990.0,39.0
582,1493,BGCP,14.31,555711.0,698.0
584,1495,BLL,38.28,961820.0,426.0
585,1496,TOL,46.58,1275945.0,297.0
588,1501,BC,62.78,1329744.0,286.0
589,1502,PBI,14.11,1071846.0,371.0
592,1506,BGS,33.0,399388.0,908.0
596,1514,TUP,57.76,853720.0,479.0
598,1517,BG,79.43,562045.0,687.0
599,1519,DNKN,64.65,363359.0,973.0
602,1523,BGC,29.7,624455.0,638.0
603,1524,RBS,8.33,349165.0,997.0
604,1525,PBYI,66.85,544866.0,709.0
606,1528,BBD,12.7,4311701.0,55.0
607,1529,SAN,7.41,1853737.0,191.0
610,1533,BLUE,204.9,396638.0,911.0
612,1535,STL,24.75,457222.0,826.0
614,1539,EWBC,65.91,504560.0,762.0
615,1540,EAT,36.34,508734.0,758.0
617,1542,BNS,66.49,489527.0,785.0
622,1549,SBGI,37.1,547406.0,705.0
625,1553,BKD,9.5,1555608.0,237.0
628,1556,VLY,12.57,545089.0,708.0
632,1562,CBI,20.87,530367.0,727.0
637,1571,SGMO,20.85,591514.0,661.0
638,1572,RRGB,52.65,355086.0,987.0
640,1576,IBN,10.98,1896364.0,188.0
643,1579,BZUN,38.95,957966.0,429.0
650,1589,BYD,39.47,654590.0,614.0
653,1593,BIG,60.78,394775.0,915.0
654,1594,BDC,84.77,715619.0,575.0
657,1598,ZION,54.03,1506975.0,244.0
661,1603,PBH,41.83,1187352.0,329.0
665,1609,BSBR,11.26,363734.0,971.0
670,1620,IBKR,63.99,410911.0,892.0
672,1624,TLRD,24.19,788076.0,520.0
674,1626,NYCB,14.16,1784315.0,200.0
677,1629,FMBI,24.86,416016.0,877.0
684,1639,BKH,55.55,502406.0,768.0
687,1642,BDN,17.94,1535729.0,241.0
688,1643,SBLK,11.15,376169.0,944.0
706,1665,OZRK,49.95,506120.0,761.0
709,1671,FBHS,70.93,538849.0,713.0
712,1677,BWP,12.56,1357958.0,277.0
726,1694,UCBI,31.68,796496.0,511.0
731,1702,CSFL,25.99,710219.0,579.0
737,1712,BOFI,35.97,492970.0,779.0
741,1721,SBS,11.34,430875.0,857.0
767,1760,SBH,16.61,750453.0,551.0
775,1769,GBT,57.9,348485.0,998.0
783,1778,BRX,16.23,2063817.0,169.0
786,1784,BLDR,21.42,446404.0,834.0
796,1799,QSR,60.39,585230.0,670.0
807,1814,BRFS,11.13,727307.0,566.0
815,1829,PLAY,47.0,1026207.0,390.0
820,1836,ISBC,13.69,741469.0,558.0
828,1847,BOOT,17.53,793425.0,513.0
856,1894,BT,18.76,581928.0,671.0
883,1940,BUFF,33.98,404449.0,900.0
904,1979,HAWK,45.45,1141512.0,348.0
958,2068,GNBC,23.85,634428.0,629.0
972,2089,BECN,60.5,503213.0,764.0
1050,2268,ZIONW,21.0,658900.0,610.0
1074,2596,F,10.97,18003942.0,13.0
1075,2597,GE,16.17,22318092.0,7.0
1076,2598,XON,13.0,558108.0,695.0
1077,2599,MSFT,95.01,21548087.0,8.0
1078,2600,XOM,87.3,5454644.0,42.0
1079,2601,INTC,48.14,10745771.0,15.0
1080,2602,VZ,54.07,6050814.0,35.0
1081,2603,C,78.48,4387934.0,53.0
1082,2604,DIS,108.67,3150290.0,86.0
1083,2605,KO,47.59,3387103.0,78.0
1084,2606,JPM,115.67,4263494.0,59.0
1085,2607,CSCO,41.54,10307216.0,17.0
1086,2608,PG,86.34,2524823.0,125.0
1087,2609,WFC,65.39,3963143.0,62.0
1088,2610,GM,42.41,2738753.0,109.0
1089,2611,MCD,171.14,1452690.0,256.0
1090,2612,CMCSA,42.53,10853838.0,14.0
1091,2614,CAT,162.78,1511532.0,243.0
1092,2615,TGT,75.22,1999171.0,174.0
1093,2616,CVX,125.35,2556060.0,121.0
1094,2617,SBUX,56.81,7528008.0,23.0
1095,2619,MRK,59.25,4202129.0,60.0
1096,2620,CMG,324.76,608036.0,650.0
1097,2621,UTX,138.01,980180.0,415.0
1098,2622,ORCL,51.59,3785758.0,64.0
1099,2623,MMM,250.5,678626.0,598.0
1100,2624,COP,58.81,2892831.0,98.0
1101,2626,DE,166.42,480676.0,799.0
1102,2627,UNP,133.5,1613518.0,222.0
1103,2628,CRM,113.91,1097146.0,361.0
1104,2629,COST,194.87,797530.0,508.0
1105,2630,LOW,104.73,1596408.0,227.0
1106,2631,CVS,78.69,4003848.0,61.0
1107,2632,LMT,354.85,501189.0,770.0
1108,2633,SO,45.11,3607578.0,67.0
1109,2634,HAL,53.7,2381117.0,138.0
1110,2636,EMR,72.23,854091.0,478.0
1111,2637,ED,80.36,821817.0,497.0
1112,2638,CATM,24.46,685165.0,596.0
1113,2639,X,37.41,8829805.0,19.0
1114,2642,NVDA,245.8,7126698.0,28.0
1115,2643,FDX,262.48,718807.0,573.0
1116,2644,CL,74.24,1383976.0,267.0
1117,2645,SNE,47.94,710647.0,578.0
1119,2647,STT,110.17,590495.0,664.0
1120,2648,MOS,27.3,1836555.0,194.0
