,Ticker,Volume,Rank
0,AAPL,11469369.0,14.0
1,BAC,20499506.0,2.0
2,AMZN,1596668.0,235.0
3,T,10123208.0,17.0
4,GOOG,478794.0,745.0
5,MO,1617196.0,227.0
6,DAL,2849993.0,114.0
7,AA,1792260.0,199.0
8,AXP,1832870.0,193.0
10,BABA,5495788.0,44.0
11,ABT,2227471.0,153.0
12,UA,2023652.0,172.0
13,AMAT,4275310.0,62.0
14,AMGN,1377339.0,280.0
15,AAL,1265255.0,306.0
16,AIG,2813396.0,119.0
17,ALL,388138.0,887.0
18,ADBE,687070.0,538.0
19,GOOGL,515149.0,701.0
20,ACN,399993.0,869.0
21,ABBV,1097621.0,353.0
22,MT,835393.0,444.0
23,LLY,1943662.0,183.0
24,AGN,1773822.0,203.0
25,APA,1147390.0,329.0
26,ADP,410990.0,857.0
27,APC,2749688.0,123.0
28,AKAM,399132.0,873.0
29,NLY,2247729.0,151.0
30,ABX,2078784.0,166.0
31,ATVI,1589782.0,237.0
32,ADSK,1389225.0,278.0
33,ADM,2634068.0,132.0
34,WBA,1503146.0,251.0
35,ARNA,372758.0,921.0
36,LUV,1128397.0,337.0
37,ACAD,2048831.0,170.0
38,PANW,683209.0,539.0
39,AET,689361.0,534.0
40,AEP,1022544.0,379.0
41,ALXN,522204.0,696.0
42,AVGO,1196395.0,318.0
43,EA,2010005.0,174.0
44,DB,2886791.0,111.0
48,AMBA,627367.0,586.0
49,NVS,575644.0,633.0
51,ANF,3106736.0,98.0
52,LULU,623769.0,590.0
53,RAD,8221089.0,27.0
54,AGNC,1578538.0,238.0
55,JBLU,1536841.0,245.0
56,A,496800.0,722.0
60,AZN,900603.0,420.0
61,AES,6417323.0,35.0
63,BUD,431831.0,819.0
65,BDX,355726.0,962.0
66,AKS,16889750.0,6.0
68,ACOR,540732.0,667.0
69,CS,647429.0,565.0
70,AFL,709166.0,515.0
71,ADI,1640868.0,220.0
73,AMP,424786.0,830.0
74,AVP,907786.0,417.0
75,AMTD,2185939.0,155.0
76,AEO,1106785.0,351.0
79,ALK,1035452.0,374.0
80,PAA,1131292.0,336.0
81,ARCC,1550914.0,243.0
82,AAP,356570.0,960.0
83,NAT,535166.0,674.0
85,AIV,392235.0,881.0
86,AGIO,1465267.0,256.0
88,UBS,1315001.0,291.0
90,ANTM,471941.0,759.0
92,AG,1112763.0,346.0
93,AFSI,604430.0,603.0
94,ABC,361775.0,947.0
95,STO,1022908.0,378.0
96,ATI,1413596.0,271.0
97,ADT,12114701.0,13.0
100,ALNY,960277.0,395.0
103,AUY,2453609.0,138.0
104,ASH,376613.0,914.0
106,AINV,369871.0,924.0
108,ACHN,1988167.0,177.0
116,AON,348982.0,974.0
117,ADXS,559205.0,649.0
120,SAVE,841561.0,441.0
122,AKRX,604820.0,602.0
126,AMT,555485.0,654.0
131,AR,1127760.0,338.0
132,AMC,853437.0,432.0
136,FCAU,1920760.0,185.0
137,BAH,381983.0,905.0
138,AVT,362814.0,944.0
139,ALB,1385599.0,279.0
142,CAR,664258.0,550.0
143,AU,411434.0,856.0
145,APH,772661.0,468.0
156,CENX,763371.0,475.0
164,APO,379359.0,910.0
172,BAM,355015.0,963.0
175,ASX,552165.0,658.0
185,ARWR,1660499.0,216.0
188,ALSN,366683.0,932.0
189,ALGN,506148.0,713.0
190,AGO,470216.0,761.0
195,ARRS,407048.0,861.0
196,ARMK,630315.0,585.0
204,ABB,534349.0,675.0
206,SEE,422534.0,834.0
207,PAAS,440221.0,805.0
209,CBL,740646.0,494.0
210,BBVA,793263.0,462.0
224,MDRX,619567.0,594.0
228,AMH,730069.0,502.0
236,HTA,706942.0,518.0
247,AHL,412415.0,853.0
249,ADTN,444422.0,796.0
258,AXTA,766669.0,473.0
267,AGI,385402.0,899.0
268,AER,460746.0,777.0
276,AXS,750157.0,486.0
277,AXL,920667.0,412.0
279,ASNA,1238238.0,315.0
281,ARAY,415491.0,843.0
282,AMBC,487930.0,733.0
289,ACHC,384435.0,900.0
292,RPAI,441313.0,803.0
312,ATSG,341585.0,990.0
323,STAY,556557.0,653.0
336,ALLY,755435.0,478.0
358,LNT,548027.0,662.0
360,HOMB,403889.0,865.0
368,APLE,448208.0,789.0
381,AMCN,473066.0,758.0
399,ATRA,985617.0,387.0
400,ATEN,366836.0,931.0
402,ARLZ,437229.0,811.0
414,BTI,833046.0,445.0
422,TEAM,842072.0,439.0
441,ADAP,1400454.0,274.0
452,BRKS,603728.0,605.0
461,RYAM,531638.0,680.0
467,AXON,1894805.0,187.0
487,AVXS,427826.0,827.0
511,USA,422173.0,835.0
522,AIMT,340890.0,994.0
567,BA,2702409.0,128.0
568,IBM,2893712.0,110.0
569,BP,3884743.0,67.0
570,BAX,1046563.0,370.0
571,BIDU,1194644.0,319.0
572,BBY,856391.0,429.0
573,BX,1726159.0,210.0
574,BSX,3204352.0,90.0
575,BIIB,413294.0,847.0
576,BMY,2367747.0,142.0
577,BBBY,1358430.0,285.0
578,USB,2735827.0,125.0
579,BLK,387448.0,894.0
580,YUM,473632.0,754.0
