,index,Ticker,Price
0,1,AAPL,154.52
1,2,BAC,29.74
2,3,AMZN,1350.5
3,4,T,35.57
4,5,GOOG,1001.52
5,6,MO,64.05
6,7,DAL,51.23
7,8,AA,45.98
8,9,AXP,88.34
9,11,BABA,173.7
10,12,ABT,56.27
11,13,UA,11.95
12,14,AMAT,45.75
13,15,AMGN,173.12
14,16,AAL,48.6
15,17,AIG,58.28
16,18,ALL,90.06
17,19,ADBE,185.16
18,20,GOOGL,1007.71
19,21,ACN,150.51
20,22,ABBV,108.48
21,23,MT,32.1
22,24,LLY,74.21
23,25,AGN,164.2
24,26,APA,37.73
25,27,ADP,108.25
26,28,APC,56.2
27,29,AKAM,62.49
28,30,NLY,10.11
29,31,ABX,13.23
30,32,ATVI,65.83
31,33,ADSK,104.81
32,34,ADM,41.35
33,35,WBA,68.22
34,36,ARNA,38.4
35,37,LUV,55.63
36,38,ACAD,28.35
37,39,PANW,151.32
38,40,AMD,11.22
39,41,AET,178.0
40,42,AEP,63.38
41,43,ALXN,108.47
42,45,AVGO,229.57
43,46,EA,116.54
44,47,DB,15.49
45,49,AEM,43.46
46,50,APD,152.8
47,51,AMBA,46.2
48,52,NVS,82.54
49,54,ANF,20.13
50,55,LULU,76.67
51,57,ARRY,16.87
52,58,AGNC,18.48
53,59,JBLU,19.83
54,60,A,65.05
55,61,ORLY,252.22
56,62,FOLD,14.875
57,63,AZO,718.57
58,65,AN,52.69
59,66,AZN,34.1
60,67,AES,10.06
61,69,BUD,103.6
62,70,ARR,22.33
63,71,BDX,211.44
64,73,AB,24.6
65,74,ACOR,23.85
66,75,CS,17.19
67,76,AFL,83.25
68,77,ADI,82.68
69,79,ACIW,20.71
70,80,AMP,152.5
71,82,AMTD,54.34
72,83,AEO,17.46
73,84,AWK,76.06
74,85,NVO,48.52
75,86,ALTR,25.29
76,87,ALK,64.04
77,88,PAA,20.93
78,89,ARCC,15.56
79,90,AAP,109.63
80,94,AIV,38.21
81,95,AGIO,74.26
82,96,AEE,52.59
83,97,UBS,18.5
84,99,ARLP,18.4
85,100,ANTM,230.57
86,103,AFSI,12.53
87,104,ABC,91.55
88,105,STO,21.71
89,106,ATI,25.4
90,107,ADT,12.37
91,108,AVB,154.94
92,110,ALNY,116.32
93,111,LH,165.46
94,112,AVY,110.77
95,114,ASH,70.46
96,119,ACXM,26.03
97,121,ACET,7.43
98,122,ABMD,229.5
99,123,ABM,34.55
100,126,ATO,78.95
101,128,AON,136.05
102,130,ADC,44.27
103,131,APU,45.25
104,132,SAVE,39.06
105,134,AKRX,31.19
106,135,ADS,240.6
107,136,ABAX,62.84
108,137,AYI,145.41
109,140,AMT,133.57
110,141,ALDR,13.25
111,142,ACM,34.5
112,145,ARW,76.32
113,146,ARI,17.75
114,148,AR,17.02
115,150,AMC,13.75
116,151,AL,43.8
117,153,AAN,38.47
118,154,WTR,33.13
119,155,FCAU,21.48
120,156,BAH,36.48
121,158,AVT,39.62
122,159,ALB,105.18
123,160,AIZ,85.16
124,161,SAIC,67.73
125,162,CAR,40.38
126,164,AU,9.96
127,166,APH,84.44
128,170,AI,10.8
129,172,WMC,8.8
130,173,JKHY,114.37
131,174,AVAV,46.01
132,175,AMKR,8.82
133,177,ACH,14.8
134,178,ERC,13.02
135,181,AEIS,62.4
136,182,Y,562.45
137,183,MTGE,16.85
138,184,CENX,20.83
139,188,AMAG,12.3
140,189,ALKS,53.67
141,191,ADES,8.24
142,193,AAON,33.05
143,194,XLRN,38.97
144,195,VRSK,92.28
145,197,OA,130.9
146,199,APTS,14.3
147,200,APO,32.03
148,202,ALG,109.74
149,206,RBA,30.38
150,207,MAA,85.39
151,208,BAM,38.01
152,209,ATHN,127.27
153,212,ARCO,9.5
154,213,ANET,264.52
155,214,ANCX,28.3
156,215,AIR,38.54
157,217,WAB,71.15
158,218,RS,80.96
159,219,PKG,111.95
160,221,AXDX,23.6
161,222,AVHI,16.15
162,223,AVA,50.16
163,226,ANGI,13.35
164,227,AMG,179.11
165,228,ALSN,41.78
166,229,ALGN,220.71
167,230,AKBA,14.0
168,231,AGO,33.95
169,234,ROK,178.73
170,235,GLPI,33.22
171,236,DNI,12.74
172,237,AZZ,41.7
173,238,ATRC,15.05
174,239,ARRS,23.46
175,240,ARMK,40.55
176,241,AOS,60.24
177,243,AMID,12.55
178,244,AMCX,50.58
179,246,ALE,68.56
180,249,ABB,24.29
181,250,SPR,85.85
182,251,SEE,42.62
183,253,PAAS,15.46
184,254,DLPH,51.93
185,257,BBVA,8.61
186,258,AYR,21.54
187,259,APOG,42.03
188,260,ANDE,31.6
189,263,AMED,55.24
190,264,ALEX,22.21
191,265,ALCO,26.15
192,266,ADUS,35.85
193,269,AAWW,51.75
194,270,WMS,24.05
195,272,MDRX,13.63
196,274,ETH,24.3
197,275,AZPN,71.33
198,276,AXE,75.95
199,279,AMH,18.73
200,280,AME,72.05
201,281,AJG,64.4
202,283,AHGP,26.82
203,284,AGCO,67.7
204,285,AERI,53.55
205,286,ACRE,12.07
206,287,ABEO,15.55
207,288,WAL,56.77
208,290,SHLM,35.55
209,292,HTA,25.44
210,293,GIII,33.75
211,295,CVU,8.0
212,298,ATU,22.8
213,301,ARE,114.58
214,302,ANSS,148.84
215,303,AMNB,36.0
216,307,AIN,62.45
217,308,AHL,37.0
218,309,AGX,38.9
219,311,ADTN,15.9
220,312,ADMS,35.28
221,313,ACLS,22.45
222,314,ABG,67.75
223,316,NXJ,13.2
224,317,KS,34.5
225,318,HOLI,23.74
226,319,GPI,75.04
227,322,AXTA,30.0
228,323,AWR,50.34
229,324,AWI,58.5
230,327,ATHM,72.0
231,330,AROC,9.1
232,332,ALX,340.07
233,335,AER,50.97
234,336,AE,40.9
235,339,ODC,36.63
236,341,KAR,49.0
237,344,FMS,51.53
238,345,DOX,63.79
239,346,CXW,19.92
240,348,AXS,50.01
241,349,AXL,15.77
242,353,ASGN,70.1
243,356,AQXP,13.4
244,359,AMBC,14.62
245,360,ALGT,157.4
246,362,AIT,68.25
247,364,AIMC,46.2
248,365,AEL,30.19
249,369,ACHC,34.02
250,370,ACFC,9.99
251,371,ACCO,11.25
252,374,RPAI,11.21
253,375,MANH,40.02
254,376,LAMR,65.92
255,377,KYN,17.99
256,379,ATRO,38.9
257,380,ATNI,53.42
258,382,APEI,23.4
259,383,AP,11.25
260,384,ANIK,57.6
261,385,ANGO,16.4
262,388,AMOT,29.86
263,389,AM,27.78
264,390,ALV,137.75
265,391,ALOG,78.05
266,392,AKR,21.91
267,393,AEGN,23.91
268,395,WRLD,105.38
269,396,UHAL,351.67
270,398,SAH,19.9
271,400,NAII,11.25
272,403,CACC,305.38
273,404,ATSG,22.98
274,406,ASB,23.6
275,408,AROW,31.75
276,409,ARCB,32.95
277,410,AMRK,12.13
278,411,ALRM,35.01
279,412,AHP,8.64
280,414,AFAM,56.85
281,416,ACSF,10.6
282,421,AAOI,32.05
283,422,USAP,23.14
284,423,STFC,28.32
285,424,STAY,18.7
286,426,RGA,146.45
287,429,CH,8.97
288,430,CEA,38.51
289,431,BREW,18.3
290,432,AXR,7.5256
291,434,AVD,19.34
292,436,ATRI,543.5
293,440,AOSL,14.58
294,441,AOI,13.0
295,442,AMWD,120.2
296,444,ALLY,27.21
297,447,ACGL,86.01
298,449,ABR,8.02
299,450,ABCB,51.6
300,451,SAMG,14.15
301,453,RAIL,14.1
302,455,MITT,16.77
303,456,LCM,7.95
304,457,HASI,20.5
305,458,GOL,10.06
306,459,GIL,31.31
307,460,EAD,8.12
308,462,ATR,81.38
309,465,ASR,174.89
310,467,ARTNA,33.75
311,469,AOD,9.07
312,472,ACNB,27.7
313,474,AAT,32.04
314,475,ZNH,55.0
315,478,NFJ,12.64
316,479,LNT,37.14
317,480,KALU,102.27
318,481,HOMB,23.13
319,483,FAF,55.04
320,487,BGR,13.61
321,490,ATV,19.36
322,495,APLE,17.69
323,497,ANIP,58.03
324,498,AMSWA,11.38
325,499,AMSF,57.3
326,502,AGYS,11.46
327,504,AFG,108.44
328,513,ECF,8.9549
329,516,CII,15.45
330,518,CCD,18.893
331,523,AVNW,14.8
332,525,APPF,39.05
333,531,ALLE,77.32
334,532,AJRD,24.74
335,533,AHH,12.9
336,534,AGM,74.71
337,535,AGII,58.325
338,541,TEO,33.5
339,544,OMAB,39.19
340,547,MTT,21.22
341,550,ISL,20.11
342,552,GRR,12.6
343,555,DIT,89.5
344,556,CRMT,44.2
345,557,CRESY,18.74
346,559,CAF,24.11
347,560,ATRA,36.7
348,564,ARII,35.81
349,571,ANAT,116.71
350,573,AKAO,10.64
351,579,ACRS,19.57
352,580,ACC,34.8
353,581,ABEOW,10.5
354,582,ABDC,7.45
355,583,REX,73.74
356,584,PAC,97.23
357,587,IGD,7.32
358,588,HMNY,8.34
359,589,GABC,33.36
360,590,ERH,11.83
361,593,BTI,62.11
362,595,AWF,12.0
363,596,AVX,16.9
364,597,ASUR,13.61
365,598,ASMB,43.56
366,599,ASFI,10.9
367,602,ARES,21.8
368,605,ANCB,24.9
369,606,AMRC,8.05
370,610,ACY,14.45
371,613,AAC,7.97
372,616,TEAM,48.86
373,618,NEN,71.15
374,619,NEA,13.04
375,621,JEQ,8.93
376,622,IGA,11.06
377,623,IDE,15.29
378,624,GBAB,21.39
379,626,EVTC,15.1
380,628,CHY,11.32
381,630,BTZ,12.67
382,636,ARKR,25.51
383,638,APLP,12.74
384,639,APF,17.94
385,640,APB,14.03
386,641,AMRB,14.96
387,644,ALOT,12.95
388,648,AGRO,9.49
389,650,ADX,14.61
390,653,ADAP,8.36
391,654,ACU,24.84
392,664,PEO,18.46
393,667,NBB,20.96
394,670,MHF,7.13
395,672,HYB,8.83
396,673,GAM,32.97
397,676,DLA,19.17
398,677,CBA,8.45
399,678,BRKS,23.3
400,679,AVK,15.12
401,681,AUBN,37.6
402,682,ASYS,8.61
403,683,ASA,10.58
404,684,AMPH,17.85
405,689,AGR,46.14
406,690,AGD,10.64
407,700,RYAM,17.94
408,702,PAHC,35.35
409,703,NAC,13.53
410,704,MZA,16.15
411,706,HYI,14.68
412,708,FWRD,54.67
413,709,FEN,24.24
414,710,FEI,14.31
415,714,AXGN,24.4
416,716,AVAL,8.64
417,725,APAM,34.2
418,729,AGFS,7.25
419,733,ACV,20.923
420,735,ACBI,16.85
421,736,ABTX,38.2
422,738,UNAM,8.4
423,741,SGF,12.49
424,744,OMAM,15.69
425,745,NSA,23.17
426,746,NKG,12.11
427,747,NAD,13.32
428,749,MPAA,24.51
429,750,LDP,25.42
430,751,JRI,16.43
431,752,JAX,9.55
432,753,IF,7.66
433,754,GGM,22.74
434,758,DMO,24.99
435,759,DEX,11.8535
436,762,AXTI,7.6
437,763,AVXS,106.19
438,766,ATLO,26.7
439,767,ASTE,58.64
440,768,ASND,51.04
441,769,ARL,12.51
442,772,AKP,13.03
443,776,AFB,12.75
444,781,WIW,11.32
445,783,SBI,9.1
446,785,PSF,26.2
447,786,NAZ,13.79
448,787,MNP,14.34
449,788,MMU,13.28
450,789,JTA,13.24
451,790,IPCC,94.65
452,792,IAE,10.42
453,793,GCP,31.5
454,794,FTAI,16.75
455,797,FCO,8.83
456,798,EMD,15.03
457,801,CHI,10.445
458,802,CEE,25.89
459,803,BUI,20.26
460,811,AJX,12.86
461,814,AFH,18.55
462,816,ACP,14.08
463,820,PHX,18.05
464,822,KYE,9.85
465,824,JCE,14.17
466,828,IGI,20.3
467,834,ELEC,10.32
468,835,EGIF,15.4301
469,840,BTA,11.41
470,841,BRSS,28.7
471,855,AIMT,36.58
472,856,AIF,15.64
473,862,AAAP,81.5
474,863,WIA,11.63
475,864,WEA,13.21
476,865,VKI,10.92
477,868,SCD,13.31
478,873,PZE,12.3
479,874,PAI,14.5
480,878,NKX,14.34
481,881,MAV,10.83
482,882,LDF,12.02
483,884,JPI,23.63
484,889,GGZ,12.07
485,891,GCH,12.74
486,894,FBGX,220.11
487,895,EXD,9.76
488,896,EHI,9.72
489,899,DFP,24.62
490,900,DDF,10.41
491,905,BHAC,10.53
492,918,AIRT,28.85
493,921,AC,34.4
494,925,TPZ,19.41
495,933,NZF,14.25
496,935,NVG,14.51
497,936,NUW,16.25
498,937,NIE,20.44
499,940,LAQ,27.235
500,941,KED,16.8
501,943,GLV,13.23
502,944,FIEE,163.0
503,945,ELECU,10.65
504,956,AINC,92.0
505,975,MLPB,26.402
506,978,JDD,11.83
507,981,HNNA,17.15
508,988,GFY,17.0182
509,991,FMAO,38.09
510,998,BHACU,12.59
511,1012,ANDA,10.26
512,1016,AMEH,19.2
513,1042,NBD,22.0937
514,1045,LGI,17.6944
515,1046,JMLP,8.53
516,1057,GDO,17.05
517,1090,AMUB,18.16
518,1128,MLPZ,43.8083
519,1129,MLPQ,35.8664
520,1132,KMF,13.56
521,1156,BST,27.14
522,1259,NRK,12.44
523,1261,NAN,13.27
524,1344,ASPU,7.79
525,1402,AFT,16.16
526,1434,BA,329.66
527,1435,IBM,147.59
528,1436,BP,39.55
529,1437,BAX,62.56
530,1439,BIDU,212.07
531,1441,BBY,68.79
532,1442,BX,33.05
533,1443,BSX,25.2
534,1444,BIIB,311.79
535,1445,BMY,62.69
536,1446,BBBY,21.82
537,1447,USB,52.65
538,1449,BLK,509.38
539,1450,YUM,76.3
540,1451,BTU,37.61
541,1452,MNST,61.99
542,1453,BK,53.29
543,1454,FITB,31.1
544,1455,ZBH,115.53
545,1456,PBR,12.21
546,1457,BHP,44.76
547,1460,BEN,38.0
548,1462,LB,47.77
549,1464,BMO,75.63
550,1465,BBT,51.07
551,1466,BPT,19.7
552,1469,HRB,25.19
553,1472,STI,65.8
554,1474,TAP,74.51
555,1475,CNBKA,75.8
556,1476,CBRL,165.41
557,1477,BITA,27.67
558,1478,BCS,10.69
559,1479,TD,56.33
560,1480,MTB,178.35
561,1481,BXP,112.09
562,1483,BMRN,82.16
563,1484,RY,78.62
564,1486,HBAN,15.1
565,1487,BCE,44.41
566,1488,SWK,152.86
567,1490,DSU,11.53
568,1492,B,59.28
569,1493,BGCP,13.29
570,1494,BWA,51.94
571,1495,BLL,38.44
572,1496,TOL,43.75
573,1497,SAM,179.75
574,1500,BOX,19.86
575,1501,BC,56.72
576,1502,PBI,12.2
577,1504,CBB,15.3
578,1505,BKE,21.0
579,1506,BGS,31.8
580,1507,BCEI,25.23
581,1510,CM,90.16
582,1512,BBL,40.51
583,1514,TUP,49.43
584,1517,BG,79.96
585,1519,DNKN,59.16
586,1520,BRS,14.24
587,1521,BPOP,38.86
588,1523,BGC,29.5
589,1524,RBS,7.9
590,1525,PBYI,59.7
591,1526,NCS,16.4
592,1528,BBD,11.16
593,1530,EBS,45.02
594,1531,BPL,50.26
595,1533,BLUE,190.8
596,1534,BDL,22.995
597,1535,STL,22.65
598,1538,FIBK,38.97
599,1539,EWBC,62.52
600,1540,EAT,33.43
601,1541,CFR,100.76
602,1542,BNS,60.46
603,1543,BMS,43.99
604,1545,BCPC,70.84
605,1546,BAS,17.31
606,1547,WBK,23.19
607,1549,SBGI,34.65
608,1551,BRKR,31.62
609,1552,BOKF,90.63
610,1553,BKD,9.67
611,1554,BIO,233.97
612,1555,WRB,67.76
613,1556,VLY,11.94
614,1557,VIVO,14.45
615,1559,ONB,16.675
616,1561,COKE,182.58
617,1562,CBI,18.07
618,1565,BJRI,36.4
619,1567,BCOR,22.35
620,1568,UBSH,35.7
621,1569,TCBI,87.65
622,1571,SGMO,20.0
623,1572,RRGB,52.2
624,1574,LCUT,16.1
625,1576,IBN,10.02
626,1577,FFBC,27.1
627,1578,DNB,111.39
628,1579,BZUN,32.43
629,1580,BIP,40.4
630,1581,BHE,29.25
631,1583,SONA,15.7
632,1585,SASR,36.68
633,1586,NXST,71.35
634,1587,EVBN,41.0
635,1589,BYD,36.24
636,1591,BR,90.74
637,1592,BMI,47.15
638,1593,BIG,56.82
639,1594,BDC,66.88
640,1595,BCO,73.1
641,1597,BAK,27.75
642,1598,ZION,50.71
643,1599,VRA,9.56
644,1600,SFBS,39.34
645,1601,SBNY,146.36
646,1603,PBH,35.35
647,1604,JBSS,59.16
648,1605,JACK,80.69
649,1607,BZH,15.5
650,1609,BSBR,10.49
651,1610,BRC,35.9
652,1614,TECH,131.96
653,1615,SPB,111.0
654,1616,NRIM,33.25
655,1620,IBKR,61.74
656,1622,BPI,7.2
657,1624,TLRD,21.91
658,1625,OLBK,31.0
659,1626,NYCB,13.25
660,1627,NBIX,78.57
661,1628,NBHC,32.09
662,1629,FMBI,24.03
663,1630,FIVE,62.52
664,1632,CNOB,28.15
665,1633,CALA,7.05
666,1635,BXS,31.0
667,1637,BOH,80.13
668,1638,BKU,38.72
669,1639,BKH,50.72
670,1640,BH,388.72
671,1641,BFAM,91.78
