Ticker,TimeStamp,Open,High,Low,Close,Volume,Return,ADXR,AROONOSC,APO,CCI,MACD,MACD_hist,MACD_signal,MFI,ROCP,RSI,Industry,Sector,Market_cap,Industry_weight,Earnings_date,Technical_points
AGO,2018-01-19T19:50:00Z,34.41,34.45,34.4,34.4325,9001.0,0.000653452406883,33.362130117,85.7142857143,0.0235634615385,163.148554527,0.055642014721,-0.000442159282697,0.0560841740037,72.2870977646,0.00269365171811,64.9376648003,Surety & Title Insurance,Financial,3880000000.0,0.243051727421,Feb 01 AMC,2
AGN,2018-01-19T19:40:00Z,180.5235,180.971,180.4716,180.93,18796.0,0.00226606975073,26.9014018386,100.0,0.230851923077,166.672222253,0.273971502357,0.0660791541206,0.207892348237,60.5459630528,0.00445685049232,64.5552542929,Drugs - Generic,Healthcare,58580000000.0,0.38532694972,Jan 31 BMO,4
LIFE,2018-01-19T19:40:00Z,4.068,4.068,4.068,4.068,0.0,0.0,26.1776704744,0.0,-0.0115576923077,66.6666666667,-0.0124954988996,0.00295689656607,-0.0154523954657,0.0,0.0,36.4667446057,Biotechnology,Healthcare,111610000.0,0.000147379595156,Feb 13 AMC,2
CEL,2018-01-19T19:50:00Z,9.92,9.92,9.92,9.92,0.0,0.0,23.7921229899,28.5714285714,0.0132538461539,116.666666667,0.0109043296045,0.000817741318489,0.010086588286,50.0757193337,0.00149416468118,65.6603353025,Telecom Services - Domestic,Technology,1060000000.0,0.00197494123758,Nov 27 BMO,3
AGI,2018-01-19T19:50:00Z,6.05,6.06,6.05,6.05,2591.0,0.0,17.0718846257,-50.0,-0.0150923076923,60.1226993865,-0.00752231556594,0.00134201614677,-0.00886433171271,66.0979524038,-0.000825763831544,46.258749461,Gold,Basic Materials,1880000000.0,0.0175685122918,Feb 01 BMO,1
FLOW,2018-01-19T20:00:00Z,48.31,48.34,48.15,48.19,3900.0,-0.00249014318323,29.9176970178,-92.8571428571,-0.00721153846155,-268.273459843,0.0540062883379,-0.0490541506963,0.103060439034,31.795372532,-0.00516102394715,41.3122163371,Diversified Machinery,Industrial Goods,2000000000.0,0.00220855858192,Jan 31 BMO,1
NYV,2018-01-19T20:00:00Z,14.23,14.23,14.23,14.23,0.0,0.0,61.8665949196,0.0,-0.0269230769231,66.6666666667,-0.0169875809016,0.00160109797852,-0.0185886788801,0.0,0.0,3.14160025509,Asset Management,Financial,34020000.0,7.22999783483e-05,-,2
AGM,2018-01-19T19:50:00Z,80.0,80.0,80.0,80.0,100.0,0.004625,22.4388707651,57.1428571429,0.133557692308,161.159718648,0.200070939341,0.0489237628339,0.151147176507,75.0535366964,0.0092726928657,63.6214856866,Credit Services,Financial,813260000.0,0.000982815757841,Feb 08 BMO,3
NYT,2018-01-19T19:50:00Z,20.775,20.9,20.775,20.825,29990.0,0.00240096038415,46.6799591711,85.7142857143,0.102830128205,240.903217567,0.103561078408,0.0154867524966,0.0880743259109,97.0888036582,0.0109223300971,76.7491535624,Publishing - Newspapers,Services,3090000000.0,0.554423184578,Jan 31 BMO,3
AGX,2018-01-19T19:50:00Z,45.15,45.15,45.05,45.05,1600.0,-0.00110987791343,21.8025594566,50.0,0.0254980769231,24.456195824,0.0318350160776,-0.00117813286971,0.0330131489473,72.1802557273,0.00222469410456,50.7349324494,Heavy Construction,Industrial Goods,691140000.0,0.0298411442862,Dec 12 AMC,2
JBHT,2018-01-19T20:00:00Z,122.89,123.1,122.89,123.005,15616.0,0.00101621885289,28.085485709,57.1428571429,-0.0292301282052,23.0828739967,0.169442874294,-0.0569177967143,0.226360671008,44.2660418319,4.0650406504e-05,54.9517309731,Trucking,Services,13280000000.0,0.275382009592,Jan 18 BMO,1
ERIE,2018-01-19T19:50:00Z,118.37,118.37,118.37,118.37,0.0,0.0,19.7379890324,50.0,0.175057692308,61.4115950209,0.242388782984,-0.00733946810099,0.249728251085,46.0159210375,0.00254086558821,63.0198749061,Insurance Brokers,Financial,6110000000.0,0.0691970514581,Jan 25 AMC,2
