,0
0,UA
1,Augmented Dickey Fuller: NO unit root
2,mean reverting
3,Halflife: 8.0 10_minute
0,AGN
1,Augmented Dickey Fuller: NO unit root
2,mean reverting
3,Halflife: 5.0 10_minute
0,APC
1,Augmented Dickey Fuller: unit root
2,mean reverting
3,Halflife: 17.0 10_minute
0,ADSK
1,Augmented Dickey Fuller: NO unit root
2,mean reverting
3,Halflife: 5.0 10_minute
0,AEP
1,Augmented Dickey Fuller: unit root
2,mean reverting
3,Halflife: 9.0 10_minute
0,ARCC
1,Augmented Dickey Fuller: unit root
2,mean reverting
3,Halflife: 7.0 10_minute
0,ADT
1,Augmented Dickey Fuller: NO unit root
2,mean reverting
3,Halflife: 10.0 10_minute
0,ARRS
1,Augmented Dickey Fuller: unit root
2,mean reverting
3,Halflife: 6.0 10_minute
0,CBL
1,Augmented Dickey Fuller: unit root
2,mean reverting
3,Halflife: 8.0 10_minute
0,ADMS
1,Augmented Dickey Fuller: unit root
2,mean reverting
3,Halflife: 10.0 10_minute
0,AVEO
1,Augmented Dickey Fuller: NO unit root
2,mean reverting
3,Halflife: 4.0 10_minute
0,APDN
1,Augmented Dickey Fuller: unit root
2,mean reverting
3,Halflife: 7.0 10_minute
0,BK
1,Augmented Dickey Fuller: unit root
2,mean reverting
3,Halflife: 9.0 10_minute
0,PBI
1,Augmented Dickey Fuller: unit root
2,mean reverting
3,Halflife: 9.0 10_minute
0,UBSH
1,Augmented Dickey Fuller: unit root
2,mean reverting
3,Halflife: 8.0 10_minute
0,NBIX
1,Augmented Dickey Fuller: unit root
2,mean reverting
3,Halflife: 27.0 10_minute
0,FIVE
1,Augmented Dickey Fuller: unit root
2,mean reverting
3,Halflife: 8.0 10_minute
0,HTBX
1,Augmented Dickey Fuller: unit root
2,mean reverting
3,Halflife: 10.0 10_minute
0,CMCSA
1,Augmented Dickey Fuller: unit root
2,mean reverting
3,Halflife: 10.0 10_minute
0,S
1,Augmented Dickey Fuller: NO unit root
2,mean reverting
3,Halflife: 9.0 10_minute
0,CRM
1,Augmented Dickey Fuller: unit root
2,mean reverting
3,Halflife: 10.0 10_minute
0,SO
1,Augmented Dickey Fuller: unit root
2,mean reverting
3,Halflife: 8.0 10_minute
0,ESRX
1,Augmented Dickey Fuller: NO unit root
2,mean reverting
3,Halflife: 6.0 10_minute
0,OXY
1,Augmented Dickey Fuller: unit root
2,mean reverting
3,Halflife: 15.0 10_minute
0,CTSH
1,Augmented Dickey Fuller: NO unit root
2,mean reverting
3,Halflife: 7.0 10_minute
0,GME
1,Augmented Dickey Fuller: unit root
2,mean reverting
3,Halflife: 21.0 10_minute
0,GT
1,Augmented Dickey Fuller: unit root
2,mean reverting
3,Halflife: 13.0 10_minute
0,CTXS
1,Augmented Dickey Fuller: NO unit root
2,mean reverting
3,Halflife: 7.0 10_minute
0,CME
1,Augmented Dickey Fuller: NO unit root
2,mean reverting
3,Halflife: 6.0 10_minute
0,NFX
1,Augmented Dickey Fuller: NO unit root
2,mean reverting
3,Halflife: 5.0 10_minute
0,HES
1,Augmented Dickey Fuller: unit root
2,mean reverting
3,Halflife: 11.0 10_minute
0,NE
1,Augmented Dickey Fuller: NO unit root
2,mean reverting
3,Halflife: 5.0 10_minute
0,CIM
1,Augmented Dickey Fuller: unit root
2,mean reverting
3,Halflife: 7.0 10_minute
0,FLR
1,Augmented Dickey Fuller: NO unit root
2,mean reverting
3,Halflife: 4.0 10_minute
0,CZR
1,Augmented Dickey Fuller: NO unit root
2,mean reverting
3,Halflife: 4.0 10_minute
0,PCG
1,Augmented Dickey Fuller: unit root
2,mean reverting
3,Halflife: 15.0 10_minute
0,MFC
1,Augmented Dickey Fuller: NO unit root
2,mean reverting
3,Halflife: 7.0 10_minute
0,INCY
1,Augmented Dickey Fuller: unit root
2,mean reverting
3,Halflife: 8.0 10_minute
0,DRE
1,Augmented Dickey Fuller: unit root
2,mean reverting
3,Halflife: 10.0 10_minute
0,ORC
1,Augmented Dickey Fuller: unit root
2,mean reverting
3,Halflife: 8.0 10_minute
0,FSIC
1,Augmented Dickey Fuller: NO unit root
2,mean reverting
3,Halflife: 6.0 10_minute
0,EMAN
1,Augmented Dickey Fuller: NO unit root
2,mean reverting
3,Halflife: 4.0 10_minute
0,FNB
1,Augmented Dickey Fuller: unit root
2,mean reverting
3,Halflife: 7.0 10_minute
0,CPN
1,Augmented Dickey Fuller: unit root
2,mean reverting
3,Halflife: 4.0 10_minute
0,KEM
1,Augmented Dickey Fuller: unit root
2,mean reverting
3,Halflife: 9.0 10_minute
0,PDS
1,Augmented Dickey Fuller: NO unit root
2,mean reverting
3,Halflife: 8.0 10_minute
0,GPK
1,Augmented Dickey Fuller: unit root
2,mean reverting
3,Halflife: 5.0 10_minute
0,DLTR
1,Augmented Dickey Fuller: unit root
2,mean reverting
3,Halflife: 10.0 10_minute
0,D
1,Augmented Dickey Fuller: unit root
2,mean reverting
3,Halflife: 10.0 10_minute
0,HTGM
1,Augmented Dickey Fuller: unit root
2,mean reverting
