,Unnamed: 0,index,Ticker,Price,Industry,Sector,Market_cap,Earnings_date,PEG,Profit_margin,Avg_Volume,Inst_Own,Beta,Current_ratio
0,0,1,AAPL,154.52,Electronic Equipment,Consumer Goods,8.39E+11,Feb 01 AMC,1.38,0.211,31520000,0.619,1.3,1.2
1,1,2,BAC,29.74,Money Center Banks,Financial,3.22E+11,Jan 17 BMO,1.31,0.289,74800000,0.714,1.41,0
2,2,3,AMZN,1350.5,Catalog & Mail Order Houses,Services,6.27E+11,Feb 01 AMC,7.68,0.017,4350000,0.612,1.66,1
3,3,4,T,35.57,Telecom Services - Domestic,Technology,2.28E+11,Jan 31 AMC,0.8,0.185,33550000,0.576,0.35,1
4,4,5,GOOG,1001.52,Internet Information Providers,Technology,7.07E+11,Feb 01 AMC,2.73,0,1520000,0.7059,0,0
5,5,6,MO,64.05,Cigarettes,Consumer Goods,1.23E+11,Feb 01 BMO,1.06,0.569,7520000,0.641,0.56,0.8
6,6,7,DAL,51.23,Major Airlines,Services,37160000000,Jan 11 BMO,0.84,0.09,8100000,0.88,1.15,0.4
7,7,8,AA,45.98,Aluminum,Basic Materials,9070000000,Jan 17 AMC,4.61,0.013,4480000,0.854,0,1.4
8,8,9,AXP,88.34,Credit Services,Financial,82350000000,Jan 18 AMC,3.06,0.076,3620000,0.86,1.18,0
9,9,11,BABA,173.7,"Specialty Retail, Other",Services,4.64E+11,Feb 01 BMO,8.11,0.296,21680000,0.406,2.61,2
10,10,12,ABT,56.27,Medical Appliances & Equipment,Healthcare,1.00E+11,Jan 24 BMO,23.95,0.017,6860000,0.746,1.56,0
11,11,13,UA,11.95,Textile - Apparel Clothing,Consumer Goods,0,Feb 13 BMO,7.67,0,5290000,0.6529,0,0
12,12,14,AMAT,45.75,Semiconductor Equipment & Materials,Technology,53250000000,Feb 14 AMC,0.86,0.236,12680000,0.831,1.71,3.1
13,13,15,AMGN,173.12,Biotechnology,Healthcare,1.25E+11,Feb 01 AMC,4.45,0.086,3140000,0.82,1.42,5.5
14,14,16,AAL,48.6,Major Airlines,Services,23930000000,Jan 25 BMO,1.95,0.045,4620000,0.827,0.97,0.6
15,15,17,AIG,58.28,Property & Casualty Insurance,Financial,55110000000,Feb 08 AMC,0,-0.049,5410000,0.885,1.18,0
16,16,18,ALL,90.06,Property & Casualty Insurance,Financial,32870000000,Feb 07 AMC,0.65,0.07,2190000,0.787,0.96,0
17,17,19,ADBE,185.16,Application Software,Technology,94440000000,Mar 15 AMC,2.34,0.198,2750000,0.898,1.18,2
18,18,20,GOOGL,1007.71,Internet Information Providers,Technology,7.63E+11,Feb 01 AMC,1.67,0.121,1720000,0.809,0.96,5.1
19,19,21,ACN,150.51,Information Technology Services,Technology,1.01E+11,Dec 21 BMO,2.71,0.094,2030000,0.835,1.02,1.2
20,20,22,ABBV,108.48,Drug Manufacturers - Major,Healthcare,1.79E+11,Jan 26 BMO,1.59,0,5700000,0.737,1.6,0
21,21,23,MT,32.1,Steel & Iron,Basic Materials,35150000000,Jan 31 BMO,0,0.067,3490000,0.042,2.82,1.2
22,22,24,LLY,74.21,Drug Manufacturers - Major,Healthcare,85210000000,Jan 31 BMO,0,0.107,4070000,0.791,0.22,1.4
23,23,25,AGN,164.2,Drugs - Generic,Healthcare,56030000000,Feb 06 BMO,0,-0.486,3000000,0.902,1.19,1.2
24,24,26,APA,37.73,Independent Oil & Gas,Basic Materials,14800000000,Feb 22 BMO,0,0.117,3540000,0,1.05,1.5
25,25,27,ADP,108.25,Business Software & Services,Technology,50190000000,Jan 31 BMO,2.15,0.135,2040000,0.803,0.89,1.1
26,26,28,APC,56.2,Independent Oil & Gas,Basic Materials,31890000000,Feb 06 AMC,0,-0.186,5760000,0.906,1.44,2
27,27,29,AKAM,62.49,Internet Information Providers,Technology,11150000000,Feb 06 AMC,6.06,0.118,2530000,0.918,0.7,3
28,28,30,NLY,10.11,REIT - Diversified,Financial,12000000000,Feb 14 AMC,0,0.682,9200000,0.578,0.11,0
