,0,1
0,BAC,AMZN
1,AMZN,T
2,MO,DAL
3,AA,AXP
4,AMGN,AAL
5,ALL,ADBE
6,ACN,ABBV
7,ABBV,MT
8,APC,AKAM
9,ARNA,LUV
10,PANW,AMD
11,AMD,AET
12,NVS,ANF
13,LULU,ARRY
14,A,ORLY
15,ORLY,FOLD
16,FOLD,AZO
17,AZO,AN
18,AN,AZN
19,CS,AFL
20,AFL,ADI
21,AMP,AMTD
22,AMTD,AEO
23,ARCC,AAP
24,AFSI,ABC
25,ABC,STO
26,STO,ATI
27,ALNY,LH
28,LH,AVY
29,ASH,ACXM
30,ACET,ABMD
31,ABAX,AYI
32,FCAU,BAH
33,BAH,AVT
34,JKHY,AVAV
35,AVAV,AMKR
36,XLRN,VRSK
37,VRSK,OA
38,OA,APTS
39,ANCX,AIR
40,WAB,RS
41,RS,PKG
42,ANGI,AMG
43,AMG,ALSN
44,ABB,SPR
45,AME,AJG
46,AJG,AHGP
47,ABEO,WAL
48,ARE,ANSS
